"filename", "language", "C++", "ShaderLab", "Shell Script", "JSON", "comment", "blank", "total"
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Addons.cpp", "C++", 1, 0, 0, 0, 0, 0, 1
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Addons.hpp", "C++", 59, 0, 0, 0, 5, 26, 90
"/home/peti/Desktop/OpenPLS/OpenPLS/src/App.cpp", "C++", 6, 0, 0, 0, 46, 4, 56
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Camera.cpp", "C++", 60, 0, 0, 0, 1, 19, 80
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Camera.h", "C++", 22, 0, 0, 0, 0, 13, 35
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Factory.cpp", "C++", 59, 0, 0, 0, 0, 29, 88
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Factory.h", "C++", 37, 0, 0, 0, 0, 41, 78
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Geometry.cpp", "C++", 140, 0, 0, 0, 1, 53, 194
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Geometry.h", "C++", 55, 0, 0, 0, 2, 34, 91
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Gui.cpp", "C++", 152, 0, 0, 0, 1, 87, 240
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Gui.h", "C++", 187, 0, 0, 0, 1, 99, 287
"/home/peti/Desktop/OpenPLS/OpenPLS/src/IBO.cpp", "C++", 29, 0, 0, 0, 0, 8, 37
"/home/peti/Desktop/OpenPLS/OpenPLS/src/IBO.h", "C++", 16, 0, 0, 0, 0, 3, 19
"/home/peti/Desktop/OpenPLS/OpenPLS/src/InputManager.cpp", "C++", 107, 0, 0, 0, 0, 31, 138
"/home/peti/Desktop/OpenPLS/OpenPLS/src/InputManager.h", "C++", 54, 0, 0, 0, 0, 26, 80
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Mesh.cpp", "C++", 525, 0, 0, 0, 45, 206, 776
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Mesh.h", "C++", 169, 0, 0, 0, 4, 73, 246
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Program.cpp", "C++", 105, 0, 0, 0, 2, 72, 179
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Program.h", "C++", 45, 0, 0, 0, 0, 21, 66
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Renderer.cpp", "C++", 23, 0, 0, 0, 2, 14, 39
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Renderer.h", "C++", 32, 0, 0, 0, 0, 10, 42
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Shader.cpp", "C++", 138, 0, 0, 0, 2, 40, 180
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Shader.h", "C++", 62, 0, 0, 0, 2, 24, 88
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Surface.cpp", "C++", 144, 0, 0, 0, 1, 62, 207
"/home/peti/Desktop/OpenPLS/OpenPLS/src/Surface.h", "C++", 61, 0, 0, 0, 1, 43, 105
"/home/peti/Desktop/OpenPLS/OpenPLS/src/VAO.cpp", "C++", 25, 0, 0, 0, 0, 8, 33
"/home/peti/Desktop/OpenPLS/OpenPLS/src/VAO.h", "C++", 16, 0, 0, 0, 0, 10, 26
"/home/peti/Desktop/OpenPLS/OpenPLS/src/VBO.cpp", "C++", 64, 0, 0, 0, 0, 22, 86
"/home/peti/Desktop/OpenPLS/OpenPLS/src/VBO.h", "C++", 49, 0, 0, 0, 3, 8, 60
"/home/peti/Desktop/OpenPLS/OpenPLS/src/WorldElements.h", "C++", 14, 0, 0, 0, 0, 5, 19
"/home/peti/Desktop/OpenPLS/OpenPLS/src/builddir/run.sh", "Shell Script", 0, 0, 7, 0, 1, 3, 11
"/home/peti/Desktop/OpenPLS/OpenPLS/src/mymath.h", "C++", 163, 0, 0, 0, 6, 58, 227
"/home/peti/Desktop/OpenPLS/OpenPLS/src/out/linecount.json", "JSON", 0, 0, 0, 302, 0, 0, 302
"/home/peti/Desktop/OpenPLS/OpenPLS/src/shaders/GouraudShader.shader", "ShaderLab", 0, 42, 0, 0, 4, 15, 61
"/home/peti/Desktop/OpenPLS/OpenPLS/src/shaders/Shader1.shader", "ShaderLab", 0, 21, 0, 0, 0, 13, 34
"/home/peti/Desktop/OpenPLS/OpenPLS/src/shaders/Shader2D.shader", "ShaderLab", 0, 18, 0, 0, 0, 13, 31
"Total", "-", 2619, 81, 7, 302, 130, 1193, 4332
